name,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Los Angeles,100,91,77,66,67,62,63,65,62,55,54,56,51,55,52,50,43,39,41,38,39
Mojave,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1
Unnamed: 2,4,3,3,3,4,4,5,6,6,6,7,7,7,6,6,6,6,6,6,6,6
Ouarzazate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siena,8,7,7,8,7,8,8,8,8,8,8,8,7,8,8,8,7,6,7,7,6
Strangford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belfast,95,100,95,94,88,95,98,93,99,86,83,80,83,86,90,85,67,72,76,69,64
Monterey,62,54,51,48,43,40,39,40,41,38,38,37,37,37,34,34,27,30,36,31,27
Del Monte Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmel-by-the-Sea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaunertal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drhovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roma,83,89,90,91,94,97,100,97,90,90,90,87,86,89,90,86,72,76,86,91,96
Rome,49,54,44,39,31,30,31,28,27,28,28,25,26,25,25,25,16,15,20,23,27
Chalmette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Providence,28,28,27,23,22,20,21,21,21,19,19,20,19,19,19,18,15,15,16,15,16
West Hollywood,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2
Cambridge,100,92,85,75,68,65,59,60,57,58,53,55,51,53,58,52,46,43,47,49,47
Cochrane,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
