name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
Lilac Time,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
The Patsy,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2
Applause,23,23,21,19,21,21,20,26,26,100,43,23,19,19,17,15,16,13,14,15,14
isPartial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Daigaku wa detakeredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasing Rainbows,45,49,36,43,38,35,35,39,39,100,72,46,42,37,33,41,35,29,24,36,35
The Silent Enemy,12,6,8,6,6,7,6,6,7,7,6,5,5,5,4,4,6,5,6,6,8
isPartial.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Au bonheur des dames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary,100,85,82,70,66,66,62,65,60,65,67,66,60,60,63,60,57,56,50,51,53
isPartial.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Party Girl,7,9,8,8,9,9,11,11,11,11,13,13,12,11,9,9,9,8,8,8,8
Remote Control,100,82,69,58,53,48,45,41,39,38,38,38,35,36,36,35,38,35,35,32,29
Big Business Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Illicit,59,61,73,73,77,82,82,70,70,73,70,71,73,72,70,68,76,70,85,100,98
Seas Beneath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Six,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
isPartial.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Sleeping Cardinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tôkyô no kôrasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bird of Paradise,77,67,60,63,59,57,57,51,54,58,55,56,55,58,64,74,90,95,90,86,100
isPartial.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Boudu sauvé des eaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynara,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fanny,80,70,65,62,72,91,85,74,82,78,100,77,67,70,85,75,68,74,62,58,56
isPartial.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ivan,100,40,38,36,40,39,41,41,37,38,39,38,35,36,38,37,33,33,34,33,34
Jewel Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuhle Wampe oder: Wem gehört die Welt?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
