film_id,city,country,date_range,name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
tt0114369,Los Angeles,United States,"(1994, 1995)",Se7en,52,81,85,93,84,97,100,77,80,58,50,47,36,34,28,24,26,23,30,32,32
tt0114369,Mojave,United States,"(1994, 1995)",Se7en,52,81,85,93,84,97,100,77,80,58,50,47,36,34,28,24,26,23,30,32,32
tt0114369,,,"(1994, 1995)",Se7en,52,81,85,93,84,97,100,77,80,58,50,47,36,34,28,24,26,23,30,32,32
tt0172495,Ouarzazate,Morocco,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt0172495,,Malta,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt0172495,Siena,Italy,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt0172495,,United Kingdom,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt0172495,Aït Benhaddou,Morocco,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt0172495,,,"(1999, 1999)",Gladiator,86,84,71,75,97,87,81,73,69,73,73,68,62,59,57,74,73,73,67,74,100
tt7286456,,United States,"(2018, 2018)",Joker,11,12,11,14,30,23,21,21,29,26,28,38,44,34,33,100,60,39,38,33,34
tt7286456,,United States,"(2018, 2018)",Joker,12,12,12,15,33,25,22,24,30,28,29,40,50,37,35,100,64,40,39,34,36
tt7286456,New York,United States,"(2018, 2018)",Joker,11,12,11,14,30,23,21,21,29,26,28,38,44,34,33,100,60,39,38,33,34
tt7286456,New York,United States,"(2018, 2018)",Joker,12,12,12,15,33,25,22,24,30,28,29,40,50,37,35,100,64,40,39,34,36
tt7286456,Newark,United States,"(2018, 2018)",Joker,11,12,11,14,30,23,21,21,29,26,28,38,44,34,33,100,60,39,38,33,34
tt7286456,Newark,United States,"(2018, 2018)",Joker,12,12,12,15,33,25,22,24,30,28,29,40,50,37,35,100,64,40,39,34,36
tt7286456,Jersey City,United States,"(2018, 2018)",Joker,11,12,11,14,30,23,21,21,29,26,28,38,44,34,33,100,60,39,38,33,34
tt7286456,Jersey City,United States,"(2018, 2018)",Joker,12,12,12,15,33,25,22,24,30,28,29,40,50,37,35,100,64,40,39,34,36
